,Type,Name,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_2,Refuse_Pct
0,ABALONE,MIXED SPECIES,74.56,105.0,17.1,0.76,1.57,6.01,0.0,0.0,31.0,3.19,48.0,190.0,250.0,301.0,0.82,0.196,0.04,44.8,2.0,0.19,0.1,1.5,3.0,0.15,5.0,0.0,5.0,5.0,65.0,0.73,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,23.0,0.149,0.107,0.104,85.0,85.0,0.0,0.0
1,ABALONE,MXD SP,60.1,189.0,19.63,6.78,1.77,11.05,0.0,0.0,37.0,3.8,56.0,217.0,284.0,591.0,0.95,0.228,0.07,51.8,1.8,0.22,0.13,1.9,2.87,0.15,14.0,9.0,5.0,20.0,0.0,0.69,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.646,2.741,1.676,94.0,85.0,0.0,0.0
2,ABIYUCH,RAW,79.9,69.0,1.5,0.1,0.9,17.6,5.3,8.55,8.0,1.61,24.0,47.0,304.0,20.0,0.31,0.057,0.182,0.0,54.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,114.0,0.0,0.0
3,ACEROLA,(WEST INDIAN CHERRY),91.41,32.0,0.4,0.3,0.2,7.69,1.1,0.0,12.0,0.2,18.0,11.0,146.0,7.0,0.1,0.086,0.0,0.6,1677.6,0.02,0.06,0.4,0.309,0.009,14.0,0.0,14.0,14.0,0.0,0.0,767.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.082,0.09,0.0,98.0,4.8,20.0
4,ACEROLA JUICE,RAW,94.3,23.0,0.4,0.3,0.2,4.8,0.3,4.5,10.0,0.5,12.0,9.0,97.0,3.0,0.1,0.086,0.0,0.1,1600.0,0.02,0.06,0.4,0.205,0.004,14.0,0.0,14.0,14.0,0.0,0.0,509.0,25.0,0.0,0.0,305.0,0.0,0.0,17.0,0.18,0.0,0.0,1.4,0.068,0.082,0.09,0.0,242.0,30.2,0.0
5,ACORN FLOUR,FULL FAT,6.0,501.0,7.49,30.17,1.69,54.65,0.0,0.0,43.0,1.21,110.0,103.0,712.0,0.0,0.64,0.611,1.743,0.0,0.0,0.146,0.154,2.382,0.931,0.688,114.0,0.0,114.0,114.0,0.0,0.0,51.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.923,19.11,5.813,0.0,28.35,0.0,0.0
6,ACORN STEW (APACHE),0,79.78,95.0,6.81,3.47,0.72,9.22,0.7,0.34,14.0,1.0,12.0,62.0,110.0,130.0,1.6,0.03,0.14,8.3,0.0,0.175,0.125,2.14,0.212,0.055,33.0,15.0,18.0,44.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.28,1.68,0.297,20.0,0.0,0.0,0.0
7,ACORNS,DRIED,5.06,509.0,8.1,31.41,1.78,53.66,0.0,0.0,54.0,1.04,82.0,103.0,709.0,0.0,0.67,0.818,1.363,0.0,0.0,0.149,0.154,2.406,0.94,0.695,115.0,0.0,115.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.084,19.896,6.052,0.0,28.35,0.0,38.0
8,ACORNS,RAW,27.9,387.0,6.15,23.86,1.35,40.75,0.0,0.0,41.0,0.79,62.0,79.0,539.0,0.0,0.51,0.621,1.337,0.0,0.0,0.112,0.118,1.827,0.715,0.528,87.0,0.0,87.0,87.0,0.0,0.0,39.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.102,15.109,4.596,0.0,28.35,0.0,38.0
9,AGAVE,CKD (SOUTHWEST),65.4,135.0,0.99,0.29,1.32,32.0,10.6,20.87,460.0,3.55,39.0,9.0,59.0,13.0,0.25,0.112,0.142,0.2,0.3,0.012,0.099,0.162,0.041,0.087,3.0,0.0,3.0,3.0,8.8,0.0,113.0,6.0,0.0,0.0,68.0,0.0,0.0,0.0,0.36,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,AGAVE,DRIED (SOUTHWEST),11.64,341.0,1.71,0.69,3.98,81.98,15.6,50.7,770.0,3.64,207.0,37.0,767.0,14.0,12.1,0.189,0.337,0.6,0.3,0.021,0.644,0.87,0.15,0.216,7.0,0.0,7.0,7.0,0.0,0.0,18.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.76,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,AGAVE,RAW (SOUTHWEST),81.83,68.0,0.52,0.15,1.27,16.23,6.6,2.58,417.0,1.8,55.0,7.0,127.0,14.0,0.15,0.138,0.094,0.4,4.0,0.029,0.039,0.162,0.041,0.055,7.0,0.0,7.0,7.0,0.0,0.0,37.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.23,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,AGUTUK,FISH W/ SHORTENING (ALASKAN ICE CREAM) (ALASKA NATIVE,34.0,470.0,9.0,43.5,3.0,10.5,0.0,0.0,0.0,0.2,16.0,134.0,206.0,24.0,0.47,0.03,0.0,0.0,0.0,0.06,0.06,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.6,15.6,17.3,26.0,0.0,0.0,0.0
13,AGUTUK,FISH/BERRY W/ SEAL OIL (ICE CREAM) (ALASKA NATIVE),47.3,353.0,3.4,31.8,4.1,13.4,0.5,0.0,8.0,0.3,7.0,46.0,70.0,21.0,0.18,0.03,0.13,0.0,2.9,0.04,0.05,0.55,0.02,0.01,3.0,0.0,3.0,0.0,0.0,0.0,696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,7.7,14.4,8.4,10.0,0.0,0.0,0.0
14,AGUTUK,MEAT-CARIBOU (ALASKAN ICE CREAM) (ALASKA NATIVE),55.2,258.0,21.7,18.6,3.6,0.9,0.0,0.0,16.0,4.55,20.0,170.0,228.0,95.0,3.83,0.19,0.06,0.0,2.2,0.18,0.66,4.26,1.95,0.23,4.0,0.0,4.0,0.0,0.0,4.83,559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,8.7,3.6,89.0,0.0,0.0,0.0
15,ALCOHOLIC BEV DISTILLED,ALL (GIN,57.5,295.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.0,4.0,2.0,1.0,0.04,0.021,0.018,0.0,0.0,0.006,0.004,0.013,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,42.0,0.0
16,ALFALFA SEEDS,SPROUTED,92.82,23.0,3.99,0.69,0.4,2.1,1.9,0.2,32.0,0.96,27.0,70.0,79.0,6.0,0.92,0.157,0.188,0.6,8.2,0.076,0.126,0.481,0.563,0.034,36.0,0.0,36.0,36.0,14.4,0.0,155.0,8.0,0.0,6.0,87.0,6.0,0.0,0.0,0.02,0.0,0.0,30.5,0.069,0.056,0.409,0.0,33.0,3.0,0.0
17,ALLSPICE,GROUND,8.46,263.0,6.09,8.69,4.65,72.12,21.6,0.0,661.0,7.06,135.0,113.0,1044.0,77.0,1.01,0.553,2.943,2.7,39.2,0.101,0.063,2.86,0.0,0.21,36.0,0.0,36.0,36.0,0.0,0.0,540.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.66,2.36,0.0,1.9,6.0,0.0
18,ALMOND BUTTER,PLN,1.64,614.0,20.96,55.5,3.09,18.82,10.3,5.35,347.0,3.49,279.0,508.0,748.0,117.0,3.29,0.934,2.131,2.4,0.0,0.041,0.939,3.155,0.318,0.103,53.0,0.0,53.0,53.0,52.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,24.21,0.0,0.0,0.0,5.351,32.445,13.613,0.0,16.0,250.0,0.0
19,ALMOND PASTE,0,14.08,458.0,9.0,27.74,1.37,47.81,4.8,36.25,172.0,1.6,130.0,258.0,314.0,9.0,1.48,0.454,0.856,4.2,0.1,0.082,0.414,1.422,0.113,0.036,73.0,0.0,73.0,73.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.54,0.0,0.0,0.0,2.629,18.012,5.821,0.0,28.35,227.0,0.0
20,ALMONDS,0,4.41,579.0,21.15,49.93,2.97,21.55,12.5,4.35,269.0,3.71,270.0,481.0,733.0,1.0,3.12,1.031,2.179,4.1,0.0,0.205,1.138,3.618,0.471,0.137,44.0,0.0,44.0,44.0,52.1,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,25.63,0.0,0.0,0.0,3.802,31.551,12.329,0.0,143.0,92.0,60.0
21,ALMONDS,BLANCHED,4.51,590.0,21.4,52.52,2.91,18.67,9.9,4.63,236.0,3.28,268.0,481.0,659.0,19.0,2.97,1.027,1.835,3.2,0.0,0.191,0.711,3.5,0.314,0.115,49.0,0.0,49.0,49.0,52.1,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,23.75,0.0,0.0,0.0,3.953,33.415,12.368,0.0,145.0,9.1,0.0
22,ALMONDS,DRY RSTD,2.41,598.0,20.96,52.54,3.07,21.01,10.9,4.86,268.0,3.73,279.0,471.0,713.0,250.5,3.31,1.099,2.232,2.0,0.0,0.077,1.197,3.637,0.321,0.136,55.0,0.0,55.0,55.0,52.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,23.9,0.0,0.0,0.0,4.092,33.076,12.955,0.0,138.0,28.35,0.0
23,ALMONDS,HONEY RSTD,1.7,594.0,18.17,49.9,2.33,27.9,13.7,0.0,263.0,2.83,240.0,400.0,560.0,130.0,2.6,0.97,2.003,0.0,0.7,0.114,0.953,2.819,0.258,0.085,32.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.73,32.402,10.472,0.0,144.0,28.35,0.0
24,ALMONDS,OIL RSTD,2.8,607.0,21.23,55.17,3.13,17.68,10.5,4.55,291.0,3.68,274.0,466.0,699.0,170.0,3.07,0.955,2.46,4.1,0.0,0.092,0.781,3.665,0.229,0.118,27.0,0.0,27.0,27.0,52.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,25.97,0.0,0.0,0.0,4.208,34.793,13.519,0.0,157.0,28.35,0.0
25,AMARANTH GRAIN,CKD,75.16,102.0,3.8,1.58,0.77,18.69,2.1,0.0,47.0,2.1,65.0,148.0,135.0,6.0,0.86,0.149,0.854,5.5,0.0,0.015,0.022,0.235,0.0,0.113,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0
26,AMARANTH GRAIN,UNCKD,11.29,371.0,13.56,7.02,2.88,65.25,6.7,1.69,159.0,7.61,248.0,557.0,508.0,4.0,2.87,0.525,3.333,18.7,4.2,0.116,0.2,0.923,1.457,0.591,82.0,0.0,82.0,82.0,69.8,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,1.19,0.0,0.0,0.0,1.459,1.685,2.778,0.0,193.0,0.0,0.0
27,AMARANTH LEAVES,CKD,91.49,21.0,2.11,0.18,2.11,4.11,0.0,0.0,209.0,2.26,55.0,72.0,641.0,139.0,0.88,0.158,0.861,0.9,41.1,0.02,0.134,0.559,0.062,0.177,57.0,0.0,57.0,57.0,0.0,0.0,2770.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.041,0.08,0.0,132.0,0.0,0.0
