,Item,Footprint,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,Cluster_ID
0,agave cooked southwest,0.68988,0.15,0.016672280229033342,0.0029,0.3715314060141647,0.34029023316484597,0.5170731707317073,0.005747126436781609,0.07837837837837837,0.0,0.0015789473684210526,0.057324840764331204,0.0019200000000000003,0.0061714285714285725,0.024146341463414638,0.001864801864801865,0.07853403141808184,0.040157762638938686,0.2191358024691358,0.18840579710144928,0.016469470822497247,0.0014226999683844453,0.0010309278350515464,0.02066115702479339,1
1,agave dried southwest,1.033266667,0.3788888888888889,0.028797574941057592,0.0069,0.9518170207825382,0.8266753627914561,0.7609756097560976,0.0009578544061302681,0.19459459459459458,0.0,0.0015789473684210526,0.12101910828025478,0.0044800000000000005,0.03314285714285715,0.15707317073170735,0.003263403263403264,0.13145913954765873,0.06776622445320904,0.22469135802469137,1.0,0.039085997656208266,0.005848877647802719,0.003092783505154639,1.0,33
2,agave raw southwest,1.691277778,0.07555555555555556,0.008757157292017514,0.0015,0.18843608498780914,0.04206750366867765,0.32195121951219513,0.0019157088122605363,0.04954954954954954,0.0,0.021052631578947368,0.03662420382165605,0.0044800000000000005,0.0061714285714285725,0.009512195121951221,0.0045066045066045075,0.07119280674204376,0.049480100394406604,0.11111111111111112,0.26570048309178745,0.010902325755737616,0.0011065444198545685,0.002061855670103093,0.012396694214876033,28
3,bear black,1.496333333,0.17222222222222222,0.33849781071067697,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12190476190476192,0.1658536585365854,0.024864024864024867,0.0,0.0,0.4444444444444445,0.0,0.0,0.025608599430920014,0.0,0.0,22
4,blackberries wild,0.491,0.057777777777777775,0.01414617716402829,0.010700000000000001,0.11424590734935564,0.059514104027392795,0.15609756097560978,0.004789272030651341,0.03513513513513513,0.0,0.024736842105263158,0.1449044585987261,0.00704,0.011961904761904764,0.0351219512195122,0.009324009324009326,0.0008536307762834982,0.07959842237361062,0.012962962962962963,0.01932367149758454,0.033286888211666976,0.001738855516914322,0.0,0.012396694214876033,28
5,blueberries wild,0.971222222,0.058333333333333334,0.01616705961603233,0.0038,0.13183559735283876,0.052665905755747595,0.06341463414634146,0.0028735632183908046,0.01171171171171171,0.0,0.05394736842105263,0.13455414012738853,0.010560000000000002,0.018990476190476193,0.0626829268292683,0.007536907536907538,0.002390166173593795,0.005378271782000716,0.04537037037037037,0.016908212560386472,0.1159821888908257,0.002292127726841606,0.0,0.008264462809917356,28
6,bread blue corn,0.7775,0.20666666666666667,0.05220613001010441,0.015300000000000001,0.4625566004876351,0.21098972770259253,0.175609756097561,0.0,0.15135135135135133,0.0,0.0,0.054140127388535034,0.0,0.020952380952380955,0.0,0.004662004662004663,0.005804689278727788,0.04266762280387235,0.09753086419753088,0.2077294685990338,0.046972786500784416,0.014859310780904206,0.015463917525773196,0.06776859504132231,12
7,buffalo free range,1.31,0.135,0.4542775345234085,0.015500000000000002,0.0,0.0,0.0,0.0,0.709009009009009,0.019859154929577464,0.0,0.04697452229299363,0.00256,0.26552380952380955,0.09597560975609758,0.025019425019425022,0.0005975415433984488,0.054858372176407315,0.19660493827160494,0.11835748792270531,0.0012758040777990827,0.03525134366108126,0.045103092783505154,0.33305785123966947,23
8,caribou bone marrow,2.64,0.8733333333333333,0.11283260357022565,0.8440000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00761904761904762,0.0,0.006216006216006217,0.0,0.0,0.2777777777777778,0.0,0.0,0.016914321846348404,0.0,0.0,8
9,caribou eye,2.673333333,0.3622222222222222,0.18187942068036375,0.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00761904761904762,0.012195121951219514,0.0015540015540015542,0.0032437969498772933,0.0,0.29012345679012347,0.0,0.0,0.009168510907366425,0.0,0.0,1
10,caribou hind quarter,3.6,0.17666666666666667,0.48518019535197027,0.04820000000000001,0.0,0.0,0.0,0.09003831417624521,0.336036036036036,0.09112676056338027,0.0,0.14012738853503184,0.00256,0.22438095238095238,0.19853658536585367,0.04522144522144522,0.0008536307762834982,0.11652922194334887,0.2962962962962963,0.11594202898550723,0.004987234122305505,0.033986721466961745,0.08505154639175258,0.35537190082644626,23
11,caribou hind quarter meat,5.129285715,0.13555555555555557,0.38110474907376213,0.0337,0.0,0.0,0.0,0.09003831417624521,0.31621621621621615,0.09929577464788733,0.0,0.10987261146496814,0.00256,0.27238095238095245,0.23463414634146343,0.0686868686868687,0.0008536307762834982,0.09680889207601291,0.25308641975308643,0.12560386473429952,0.004291340988960551,0.036357888080935825,0.06443298969072164,0.17355371900826447,17
12,caribou liver,8.465,0.13555555555555557,0.2526103065005052,0.039,0.07895042377801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006829046210267986,0.0,0.9691358024691358,0.0,0.0,0.044577932342712616,0.0,0.0,22
13,caribou rump meat,0.595,0.2833333333333333,0.8767261704277534,0.052300000000000006,0.0,0.0,0.0,0.04980842911877394,0.5585585585585585,0.10084507042253521,0.0,0.014331210191082801,0.0019200000000000003,0.5028571428571429,0.30243902439024395,0.05174825174825176,0.002390166173593795,0.21513087128002867,0.6790123456790124,0.2898550724637681,0.011482236700191745,0.07587733164717042,0.15721649484536082,0.7768595041322315,22
14,caribou shoulder meat,0.55,0.3011111111111111,0.9999999999999999,0.0367,0.0,0.0,0.0,0.010536398467432949,0.4495495495495495,0.21267605633802816,0.0,0.011146496815286625,0.00512,0.5638095238095239,0.3170731707317074,0.04848484848484849,0.002390166173593795,0.2796701326640373,0.6790123456790124,0.2995169082125604,0.012758040777990828,0.0869427758457161,0.18969072164948453,0.7768595041322315,22
15,caribou tongue,1.005,0.28888888888888886,0.23071741327046139,0.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01864801864801865,0.001024356931540198,0.0,0.1728395061728395,0.0,0.0,0.023711666139740753,0.0,0.0,25
16,chokecherries raw,1.239375,0.17666666666666667,0.049932637251599854,0.01335,0.3918495297805643,0.19232023479536933,0.9024390243902439,0.004789272030651341,0.1761261261261261,0.0,0.01631578947368421,0.08757961783439491,0.0032,0.024761904761904766,0.028170731707317077,0.0048951048951048955,0.008536307762834983,0.045536034420939404,0.03364197530864198,0.11594202898550723,0.03531657651725643,0.008852355358836548,0.004381443298969072,0.021487603305785124,1
17,cloudberries raw alaska native,0.989176471,0.056666666666666664,0.04041764904008083,0.008,0.09984906536630675,0.0,0.0,0.0,0.0,0.0,0.8315789473684211,0.0,0.0,0.03428571428571429,0.017073170731707322,0.007770007770007772,0.0030730707946205935,0.0,0.043209876543209874,0.0,0.0,0.005532722099272843,0.0,0.0,1
18,cockles raw alaska native,1.464,0.08777777777777777,0.22734927585045467,0.006999999999999999,0.05456867525833044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12190476190476192,0.04878048780487806,0.0015540015540015542,0.005121784657700989,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22
