,Typology,Sub-typology,Item,n,mean,median,st.dev.,min,max,MAD,Q1,Q3,CV,skewness,kurtosis,Shapiro Wilk test P,FLAG 1 (SIZE),FLAG 2 (outlier),FLAG 3 (adherence to the normal distribution),Suggested CF value to represent food commodity
0,BEER,-,beer in can,5,0.68988,0.693,0.1388235484,0.51,0.9,0.118,0.575,0.7714,0.2012285447,0.8784992,2.619557,0.32911,Y,G,G,ITEM
1,BEER,-,beer in glass,9,1.033266667,0.9605,0.5153211146,0.42,2.27,0.2945,0.666,1.1718,0.4987300289,1.117292,3.411692,0.27487,G,G,G,ITEM
2,BEER,-,beer modular can,5,0.54414,0.5306,0.03392058962,0.5043,0.5906,0.0263,0.5176,0.5776,0.06233798217,0.273307,1.353844,0.39401,Y,G,G,ITEM
3,BISCUITS,-,chocolate or cream filled cookies,9,1.691277778,1.533,0.3836658059,1.33,2.39,0.125,1.4475,1.686,0.2268496701,1.126089,2.554021,0.00542,G,G,R,ITEM
4,BISCUITS,-,simple cookies,12,1.496333333,1.39075,0.3482734996,1.108,2.348,0.18175,1.246875,1.59575,0.2327512807,1.182523,3.600036,0.07835,G,G,G,ITEM
5,BOTTLED WATER* (mineral water),-,mineral water,2,0.491,0.491,0.069,0.422,0.56,0.069,0.4565,0.5255,0.1405295316,-,-,-,R,n.a,R,ITEM matching with TYPOLOGY
6,BREAD,-,bread multicereal,2,0.703,0.703,0.161,0.542,0.864,0.161,0.6225,0.7835,0.2290184922,-,-,-,R,G,R,TYPOLOGY
7,BREAD,-,bread plain,9,0.9712222222,0.885,0.2540538122,0.614,1.536,0.056,0.847,0.98,0.2615815479,1.012274,3.331904,0.14026,G,G,G,ITEM
8,BREAD,-,bread whole,5,0.7775,0.772,0.1303242111,0.548,0.913,0.122,0.7605,0.894,0.1676195641,-0.7250058,2.284845,0.35372,Y,G,G,ITEM
9,BREAD FROZEN* (rolls frozen),-,bread frozen frozen,1,1.31,1.31,-,1.31,1.31,-,1.31,1.31,-,-,-,n.a.,R,n.a,R,ITEM matching with TYPOLOGY
10,BREAKFAST CEREALS* (cornflakes),-,cornflakes,1,2.64,2.64,-,2.64,2.64,-,2.64,2.64,-,-,-,n.a.,R,n.a,R,ITEM matching with TYPOLOGY
11,CHOCOLATE,-,dark chocolate,3,2.673333333,2.71,0.1371941042,2.49,2.82,0.11,2.6,2.765,0.05131949034,-0.3818023,,0.63689,R,G,R,TYPOLOGY
12,CHOCOLATE,-,milk chocolate,1,3.6,3.6,-,3.6,3.6,-,3.6,3.6,-,-,-,n.a.,R,G,R,TYPOLOGY
