Item,Footprint,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
agave cooked southwest,0.68988,135,0.99,0.29,32,20.87,10.6,6,0.087,0,0.3,0.36,3,0.162,0.099,0.012,460,0.112,3.55,39,0.142,9,0.2,0.25
agave dried southwest,1.033266667,341,1.71,0.69,81.98,50.7,15.6,1,0.216,0,0.3,0.76,7,0.87,0.644,0.021,770,0.189,3.64,207,0.337,37,0.6,12.1
agave raw southwest,1.691277778,68,0.52,0.15,16.23,2.58,6.6,2,0.055,0,4,0.23,7,0.162,0.039,0.029,417,0.138,1.8,55,0.094,7,0.4,0.15
bear black,1.496333333,155,20.1,8.3,0,0,0,0,0,0,0,0,0,3.2,0.68,0.16,0,0,7.2,0,0,162,0,0
blackberries wild,0.491,52,0.84,1.07,9.84,3.65,3.2,5,0.039,0,4.7,0.91,11,0.314,0.144,0.06,5,0.222,0.21,4,0.287,11,0,0.15
blueberries wild,0.971222222,52.5,0.96,0.38,11.355,3.23,1.3,3,0.013,0,10.25,0.845,16.5,0.4985,0.257,0.0485,14,0.015,0.735,3.5,1,14.5,0,0.1
bread blue corn,0.7775,186,3.1,1.53,39.84,12.94,3.6,0,0.168,0,0,0.34,0,0.55,0,0.03,34,0.119,1.58,43,0.405,94,3,0.82
buffalo free range,1.31,121.5,26.975,1.55,0,0,0,0,0.787,1.41,0,0.295,4,6.97,0.3935,0.161,3.5,0.153,3.185,24.5,0.011,223,8.75,4.03
caribou bone marrow,2.64,786,6.7,84.4,0,0,0,0,0,0,0,0,0,0.2,0,0.04,0,0,4.5,0,0,107,0,0
caribou eye,2.673333333,326,10.8,31.4,0,0,0,0,0,0,0,0,0,0.2,0.05,0.01,19,0,4.7,0,0,58,0,0
caribou hind quarter,3.6,159,28.81,4.82,0,0,0,94,0.373,6.47,0,0.88,4,5.89,0.814,0.291,5,0.325,4.8,24,0.043,215,16.5,4.3
caribou hind quarter meat,5.129285715,122,22.63,3.37,0,0,0,94,0.351,7.05,0,0.69,4,7.15,0.962,0.442,5,0.27,4.1,26,0.037,230,12.5,2.1
caribou liver,8.465,122,15,3.9,6.8,0,0,0,0,0,0,0,0,0,0,0,4,0,15.7,0,0,282,0,0
caribou rump meat,0.595,255,52.06,5.23,0,0,0,52,0.62,7.16,0,0.09,3,13.2,1.24,0.333,14,0.6,11,60,0.099,480,30.5,9.4
caribou shoulder meat,0.55,271,59.38,3.67,0,0,0,11,0.499,15.1,0,0.07,8,14.8,1.3,0.312,14,0.78,11,62,0.11,550,36.8,9.4
caribou tongue,1.005,260,13.7,22.8,0,0,0,0,0,0,0,0,0,0,0,0.12,6,0,2.8,0,0,150,0,0
chokecherries raw,1.239375,159,2.965,1.335,33.75,11.795,18.5,5,0.1955,0,3.1,0.55,5,0.65,0.1155,0.0315,50,0.127,0.545,24,0.3045,56,0.85,0.26
cloudberries raw alaska native,0.989176471,51,2.4,0.8,8.6,0,0,0,0,0,158,0,0,0.9,0.07,0.05,18,0,0.7,0,0,35,0,0
cockles raw alaska native,1.464,79,13.5,0.7,4.7,0,0,0,0,0,0,0,0,3.2,0.2,0.01,30,0,16.2,0,0,0,0,0
corn dried,2.04,419,14.48,10.64,66.27,21.32,20.5,13,1.11,0,0,0.44,0,8.25,0.181,0.261,25,0.293,2.61,149,0.9,344,56.5,3.06
corn white,1.1,386,9.72,5.18,75.2,6.47,16.6,0,0.289,0,0,0,0,3.31,0.067,0.08,14,0.231,2.29,123,0.926,312,0,3.15
cranberries wild,3.190466667,55,1.1,0.2,12.3,0,6.7,0,0,0,15,0,0,0.9,0.01,0,20,0,1,0,0,15,0,0
elk free range,1.175,121.5,24.9725,2.3875,0,0,0,0,0.80475,2.855,0,0.315,0.5,7.1025,0.3585,0.1695,4.25,0.16525,5.295,24.5,0.027,220.75,18.525,5.6425
fish salmon,2.84,116,20.69,3.67,0,0,0,32,0.189,8.08,0,0.49,18,8.79,0.217,0.156,7,0.137,0.56,26,0.03,230,39.7,0.54
fish halibut,3,114.5,21.33,2.825,0.905,0,0,47.5,0.328,2.165,0,1.475,7.5,6.0045,0.124,0.0745,26.5,0.0415,0.315,27.5,0.011,259.5,55.85,0.68
fish herring,2.88,489,44.5,34.6,0,0,0,0,0,0,0,0,0,2.2,0,0.01,0,0,0,0,0,684,0,0
fish herring eggs,3.2,193,35,4.265,3.635,0,0,0,0,0,0.3,0,0,2.95,0.145,0.075,24,0,1.35,0,0,404,0,0
fish herring eggs on giant kelp,2.84,63,11.3,0.8,2.6,0,0,0,0,0,0,0,0,2.7,0.13,0.1,161,0,3.4,0,0,0,0,0
fish pike,2.96,156,16.6,8,4.3,0,0,0,0,0,0,0,0,5,0.7,0.1,28,0,2.1,0,0,412,0,0
fish salmon,2.78,210.4615385,27.94846154,10.77538462,0.330769231,0,0,27,0.185307692,5.637692308,0,0.483846154,4.307692308,9.035769231,0.267923077,0.111153846,43.38461538,0.073,1.47,21.38461538,0.019,227.3846154,26.26153846,0.471538462
fish whitefish,2.68,163.4,25.12,6.084,1.998,0,0,26,0.1048,14.96,2.4,0.668,12.8,2.9712,0.3022,0.0902,181.8,0.0944,4.568,29.6,0.09,433,41.16,1.618
huckleberries raw alaska native,0.623756532,37,0.4,0.1,8.7,0,0,0,0,0,2.8,0,0,0.3,0.03,0.01,15,0,0.3,0,0,0,0,0
moose liver,0.49045,155,24.38,4.89,3.43,0,0,0,0.91,71,22.6,0,0,10.72,4.1,0.196,7,2.789,6.77,20,0.413,429,0,6.07
moose meat,1.96,103,22.3,1.5,0,0,0,0,0,0,4,0,0,5,0.24,0.07,5,0.067,3.28,23,0.008,165,0,2.8
mouse nuts roots alaska native,0.47,81,3.9,0.1,16.1,0,0,0,0,0,16,0,0,0.1,0.04,0.01,22,0,0,0,0,175,0,0
