,Item,footprint
0,BEER IN CAN,0.68988
1,BEER IN GLASS,1.033266667
2,BEER MODULAR CAN,0.54414
3,CHOCOLATE OR CREAM FILLED COOKIES,1.691277778
4,SIMPLE COOKIES,1.496333333
5,MINERAL WATER,0.491
6,BREAD MULTICEREAL,0.703
7,BREAD PLAIN,0.9712222222
8,BREAD WHOLE,0.7775
9,BREAD FROZEN,1.31
10,CORNFLAKES,2.64
11,DARK CHOCOLATE,2.673333333
12,MILK CHOCOLATE,3.6
13,COFFEE GROUND,5.129285715
14,COFFEE PARCHMENT,8.465
15,COFFEE DRIP FILTERED,0.595
16,COFFEE SOLUBLE POWDER,0.33
17,ESPRESSO,0.55
18,FLAVORED CRACKERS,1.005
19,PLAIN CRACKERS,1.239375
20,WHOLEGRAIN CRACKERS,0.9891764706
21,CRISPBREAD,1.3645
22,KETCHUP,1.464
23,MAYONNAISE,2.04
24,TEMPE',1.1
25,EGG PASTA,3.190466667
26,RASPBERRIES,1.175
27,APPLE JUICE,2.84
28,BLUEBERRY JUICE,3.0
29,CRANBERRY JUICE,2.88
30,FIG JUICE,3.2
31,KIWI JUICE,2.84
32,MANGO JUICE,2.96
33,PINEAPPLE JUICE,2.78
34,STRAWBERRY JUICE,2.68
35,ORANGE JUICE,0.6237565317
36,PEAR JUICE,0.49045
37,BUCKWHEAT FLOUR,1.96
38,DURUM WHEAT,0.47606
39,GRAHAM FLOUR,0.47
40,MAIZE FLOUR,1.31
41,MILLET FLOUR,1.37
42,OAT MEAL,1.126
43,SORGHUM FLOUR,1.33
44,WHEAT PLAIN FLOUR,0.612069375
45,WHOLE WHEAT FLOUR,0.3756691542
46,CHOCOLATE,6.6
47,ICE CREAM,1.02
48,VANILLA,4.3
49,AZUKI BEAN FLOUR,1.32
50,MUNG BEAN FLOUR,1.49
51,SOY MEAL,0.62
52,BEANS IN CAN,0.109
53,GREEN BEANS IN CAN,1.45
54,BEANS,1.77
55,GREEN BEANS,2.741769912
56,MARGARINE,1.43
57,ALMOND COVERED WITH CHOCOLATE,4.8
58,HAZELNUT COVERED WITH CHOCOLATE,3.43
59,ALMOND PASTE,2.98
60,HAZELNUT CREAM,2.71
61,HAZELNUT PASTE,1.685
62,PEANUT BUTTER,1.15
63,PEANUT PASTE,1.84
64,OLIVE OIL,3.837506911
65,PALM OIL,2.3159
66,PEANUT OIL,2.8975
67,RAPESEED OIL,2.403693333
68,SOYBEAN OIL,2.303482143
69,SUNFLOWER OIL,0.99412
70,PASTA,1.241734167
71,PESTO,2.713
72,PESTO WITHOUT GARLIC,2.717
73,BEET SUGAR,0.8854922222222222
74,CANE SUGAR,0.66633
75,CAKES AND CROISSANT,2.230607143
76,COCOA CAKES AND CROISSANT,1.970555556
77,TOMATO CHOPPED,1.410825
78,TOMATO PEELED,1.275166667
79,TOMATO PUREE,1.169911429
80,TOMATO & BASIL,1.1465
