Coarse Class ID (int),Coarse Class Name (str)
0,Apple
1,Avocado
2,Banana
3,Kiwi
4,Lemon
5,Lime
6,Mango
7,Melon
8,Nectarine
9,Orange
10,Papaya
11,Passion-Fruit
12,Peach
13,Pear
14,Pineapple
15,Plum
16,Pomegranate
17,Red-Grapefruit
18,Satsumas
19,Juice
20,Milk
21,Oatghurt
22,Oat-Milk
23,Sour-Cream
24,Sour-Milk
25,Soyghurt
26,Soy-Milk
27,Yoghurt
28,Asparagus
29,Aubergine
30,Cabbage
31,Carrots
32,Cucumber
33,Garlic
34,Ginger
35,Leek
36,Mushroom
37,Onion
38,Pepper
39,Potato
40,Red-Beet
41,Tomato
42,Zucchini
