,FullName,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,Item,Footprint,Cluster_ID
0,agave cooked southwest,0.149667406,0.011565421,0.0029,0.32,0.209118236,0.19924812,0.0002,0.010875,0,0.000125,0.002409639,0.00192,0.002025,0.014558824,0.001071429,0.078534031,0.014889657,0.028721683,0.054852321,0.001136,0.0014227,0.000961076,0.013333333,mixed fish frozen,1.04,50
1,agave dried southwest,0.37804878,0.019976636,0.0069,0.8198,0.508016032,0.293233083,3.33E-05,0.027,0,0.000125,0.005087015,0.00448,0.010875,0.094705882,0.001875,0.13145914,0.025126296,0.029449838,0.291139241,0.002696,0.005848878,0.002883229,0.645333333,yeast dried,3.294,33
2,agave raw southwest,0.075388027,0.006074766,0.0015,0.1623,0.025851703,0.12406015,6.67E-05,0.006875,0,0.001666667,0.001539491,0.00448,0.002025,0.005735294,0.002589286,0.071192807,0.018346185,0.014563107,0.077355837,0.000752,0.001106544,0.001922153,0.008,yogurt plain,2.095343049,12
3,alcoholic beverage wine,0.092165558,0.000817757,0,0.026653333,0.000414162,0,0,0.000475,0,0,0,0,0.000186667,0.000303922,2.98E-05,9.11E-05,9.75E-05,0.000248112,0.001125176,7.04E-05,0.000242386,6.41E-05,0.000497778,wine white,1.020266667,113
4,alfalfa seeds sprouted,0.025498891,0.04661215,0.0069,0.021,0.002004008,0.035714286,0.000266667,0.00425,0,0.003416667,0.000133869,0.02304,0.0060125,0.018529412,0.006785714,0.005463237,0.020872108,0.00776699,0.037974684,0.001504,0.011065444,0.002883229,0.049066667,sunflower seed,1.1595,112
5,amaranth grain cooked,0.11308204,0.044392523,0.0158,0.1869,0,0.039473684,0,0.014125,0,0,0.001271754,0,0.0029375,0.003235294,0.001339286,0.008024129,0.019808562,0.016990291,0.091420534,0.006832,0.023395511,0.026429601,0.045866667,pork ham,7.9325,101
6,amaranth grain uncooked,0.411308204,0.158411215,0.0702,0.6525,0.016933868,0.12593985,0,0.073875,0,0.00175,0.007965194,0.05248,0.0115375,0.029411765,0.010357143,0.027145459,0.069795267,0.061569579,0.348804501,0.026664,0.08804932,0.089860644,0.153066667,radish,0.15379,42
7,amaranth leaves cooked,0.023281596,0.024649533,0.0018,0.0411,0,0,0.004633333,0.022125,0,0.017125,0,0.03648,0.0069875,0.019705882,0.001785714,0.035681766,0.021005052,0.01828479,0.077355837,0.006888,0.0113816,0.004324844,0.046933333,vegetables,0.6926075,112
8,amaranth leaves raw,0.025498891,0.028738318,0.0033,0.0402,0,0,0.004866667,0.024,0,0.018041667,0,0.0544,0.008225,0.023235294,0.002410714,0.036706123,0.021536825,0.018770227,0.077355837,0.00708,0.007903889,0.004324844,0.048,starchy roots,0.29,112
9,animal fat bacon grease,0.994456763,0,0.995,0,0,0,0,0,0,0,0.004016064,0,0,0,0,0,0,0,0,0,0,0,0.005866667,bacon,4.025,3
