Item,Footprint
beer in can,0.68988
beer in glass,1.033266667
chocolate or cream filled cookies,1.691277778
simple cookies,1.496333333
mineral water,0.491
bread plain,0.9712222222
bread whole,0.7775
bread frozen frozen,1.31
cornflakes,2.64
dark chocolate,2.673333333
milk chocolate,3.6
coffee ground,5.129285715
coffee parchment,8.465
coffee drip filtered,0.595
espresso,0.55
flavored crackers,1.005
plain crackers,1.239375
wholegrain crackers,0.9891764706
crispbread,1.3645
ketchup,1.464
mayonnaise,2.04
tempeh,1.1
egg pasta,3.190466667
raspberries frozen,1.175
apple juice,2.84
blueberry juice,3.0
cranberry juice,2.88
fig juice,3.2
kiwi juice,2.84
mango juice,2.96
pineapple juice,2.78
strawberry juice,2.68
orange juice,0.6237565317
pear juice,0.49045
buckwheat flour,1.96
graham flour,0.47
maize flour,1.31
millet flour,1.37
oat meal,1.126
sorghum flour,1.33
wheat plain flour,0.612069375
whole wheat flour,0.3756691542
chocolate,6.6
ice cream,1.02
vanilla,4.3
azuki bean flour,1.32
mung bean flour,1.49
soy meal,0.62
beans in can,0.109
green beans in can,1.45
beans frozen,1.77
green beans frozen,2.741769912
margarine,1.43
almond covered with chocolate,4.8
hazelnut covered with chocolate,3.43
almond paste,2.98
hazelnut cream,2.71
hazelnut paste,1.685
peanut butter,1.15
peanut paste,1.84
olive oil,3.837506911
palm oil,2.3159
peanut oil,2.8975
soybean oil,2.303482143
sunflower oil,0.99412
pasta,1.241734167
pesto,2.713
pesto without garlic,2.717
beet sugar,0.8854922222222222
cane sugar,0.66633
cakes and croissant,2.230607143
cocoa cakes and croissant,1.970555556
tomato chopped,1.410825
tomato peeled,1.275166667
tomato puree,1.169911429
tomato and basil,1.1465
carrots canned,1.6
corn canned,1.355
carrots frozen,0.267
zucchini frozen,1.35
soy cream,1.62
almond milk,0.4179027998
coconut milk,0.4126201796
rice milk,0.7975333333
soy milk,0.854880238
soy burger,1.48
tofu,2.333
soy yogurt,1.36
wine red,1.020266667
wine white,0.7441
yeast compressed,0.824
yeast dried,3.294
yeast liquid,0.503
beef boneless,27.72327180145614
beef,19.54409099
