Item,Footprint,FullName,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
beer in can,0.68988,milk canned,160.4,7.178,6.315999999999999,19.174,17.165999999999997,0.0,64.4,0.0512,0.2319999999999999,1.9,0.092,8.8,0.1931999999999999,0.3346,0.0551999999999999,271.4,0.0158,0.2099999999999999,25.0,0.006,211.4,4.840000000000001,0.8300000000000001
beer in glass,1.033266667,carbonated beverage cola,39.66666666666666,0.0233333333333333,0.0066666666666666,10.24,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0003333333333333,0.0499999999999999,0.0,0.0006666666666666,10.666666666666666,0.1,0.0133333333333333
chocolate or cream filled cookies,1.691277778,cookies chocolate wafers,433.0,6.6,14.2,72.7,37.43,3.4,3.0,0.051,0.09,0.0,0.72,75.0,2.858,0.266,0.203,31.0,0.463,4.01,53.0,0.696,132.0,5.7,1.09
simple cookies,1.496333333,cookies animal,509.0,3.0,24.1,70.09,41.1,0.9,0.0,0.014,0.0,0.0,0.93,94.0,1.7,0.15,0.28,6.0,0.052,1.57,7.0,0.0,5.0,11.3,0.24
mineral water,0.491,beverages water,2.5,0.0,0.0,0.625,0.0,0.0,0.0,0.0415,0.125,12.5,0.28,0.0,0.4165,0.0,0.0,16.5,0.0,0.0,5.5,0.0,0.0,0.0,0.0
bread plain,0.9712222222,bread naan indian bread,288.5,9.91,6.175000000000001,48.32,3.475,3.5,1.0,0.1115,0.0,0.0,1.0550000000000002,8.0,4.71,0.345,0.478,71.5,0.1435,2.49,47.5,0.957,144.0,19.65,1.025
bread whole,0.7775,bread whole wheat,285.25,11.579999999999998,4.7175,50.4175,4.5425,6.975,0.0,0.212,0.0,0.0,1.2225,65.25,4.524,0.2257499999999999,0.33475,90.0,0.357,2.9825,86.0,2.16675,226.75,39.85,1.7675
bread frozen frozen,1.31,taquitos frozen,285.5,9.305,12.665,33.545,1.48,2.85,32.5,0.1595,0.23,0.0,1.19,106.0,3.6935,0.293,0.331,100.5,0.101,2.5700000000000003,24.0,0.3745,134.5,16.05,0.88
cornflakes,2.64,snacks granola bites,451.0,7.17,17.5,66.27,30.0,5.7,2.0,0.143,0.07,0.2,2.51,38.0,2.318,0.146,0.199,41.0,0.247,1.56,69.0,1.682,216.0,20.0,1.92
dark chocolate,2.673333333,chocolate dark,574.3333333333334,6.263333333333333,37.406666666666666,53.16333333333333,36.2,8.633333333333333,2.333333333333333,0.038,0.23,0.0,0.5733333333333333,0.0,0.8723333333333333,0.059,0.0303333333333333,63.66666666666666,1.3473333333333333,8.746666666666668,183.3333333333333,1.564,258.0,6.066666666666666,2.6566666666666667
