FullName,Word Embedding,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,Item,Footprint
agave cooked southwest,"[ 0.04592686 -0.29528741  1.02437786 -0.34419706  1.64817639  0.66622747
 -1.40890052 -1.01429901 -0.5097968  -0.58545545  0.01854771  0.63732897
  0.38887807 -0.55036853  0.89874307  0.21105963  0.35729853  0.30139794
  0.48243371  0.0309729   0.26759156  2.55639543  0.73494999 -0.01799655
  0.49515691  0.33089304  1.19289427  1.49295497  0.38330888  0.56541881
  0.39907658 -0.97548575 -0.20923505  1.11969044  0.43269429  0.84456929
 -0.43957102  0.05730235 -0.38760948  0.19736078 -0.62725513 -1.08253362
 -1.01897993  0.15390861  0.22121119 -0.67670465  0.40838858  0.59936179
  0.74252494 -0.32694737 -0.17419997  0.11859554 -0.12979435 -0.35217976
 -0.20535508  1.67482259 -0.21310504  1.37527715 -0.26444467  1.05525023
 -0.02270022 -0.87399945  0.85865989 -0.03144948 -0.81401689 -0.9951456
 -0.31278597  1.04086654  0.59099485 -1.68156225  0.61666336 -0.21400424
  0.42745802  0.20603051 -0.37053048  2.2359628   1.44929907 -0.16337268
 -0.38299443 -0.46809005  0.15033433  1.17719444 -0.49147884  1.31923889
 -0.85009563 -0.65900976  0.74249367  0.0451453   0.13281756  0.18614322
 -0.63101465 -0.7019919   0.62560946  1.23262309 -1.28757874  0.00546007
 -0.91871306  0.01323962 -0.05687551 -1.96038094]",135.0,0.99,0.29,32.0,20.87,10.6,6.0,0.087,0.0,0.3,0.36,3.0,0.162,0.099,0.012,460.0,0.112,3.55,39.0,0.142,9.0,0.2,0.25,mixed fish frozen,1.04
agave dried southwest,"[ 0.1454093  -0.06162685  0.07142376  0.20837176 -0.96418695  0.69526451
 -0.44504477  1.36023591 -1.47490948  0.58926321  0.30024191 -0.04122326
 -0.21403201 -0.77214955  0.68899258 -0.12256734  1.54056589 -0.48305494
 -0.20140747 -1.11888617  1.23579228  0.2416707   1.25666293 -1.06807765
 -1.03375627 -0.30126891  0.38493957 -0.12337231  0.35588287  0.42586642
 -0.38419238 -1.63301705  1.36170418  0.36428629  0.54914047 -0.14197495
 -0.5403823  -0.68188428  0.50336958  0.72592964 -0.03998984 -0.8511627
 -0.27914435  0.67469304  0.55760984 -0.26766147 -0.26537916 -0.49283285
  0.24191567  0.61359288 -0.51064636 -0.68840367 -0.74047096  0.556322
 -0.08482739  0.15257313 -0.11530576 -0.24696439 -0.01926894  1.50629535
  0.64310584  0.00492514  0.53613657  0.21236236  0.53917238  0.05614306
 -0.07539068 -0.95989767  0.39187604  0.03993521 -0.03010186  0.84103775
  0.44110288 -0.36315252  0.96057269  0.24842254  1.34336389  1.18363239
  0.34943645 -0.28203006  0.45333409  0.94340261  0.00832993  0.38235059
 -0.74121515 -0.54637657 -0.22520968  0.87952295 -0.60158657  0.30414929
  1.35433874 -0.29893377 -0.59779885  0.21439682  0.80119558 -0.96307855
  0.36151533 -1.00706657  0.45816796 -0.71001353]",341.0,1.71,0.69,81.98,50.7,15.6,1.0,0.216,0.0,0.3,0.76,7.0,0.87,0.644,0.021,770.0,0.189,3.64,207.0,0.337,37.0,0.6,12.1,yeast dried,3.294
agave raw southwest,"[-0.57195613  0.05473957  0.66499873  0.12265865 -0.39382041  0.80292146
 -0.22962799  0.441269   -0.57631781  0.87463308 -0.3821403  -0.12354401
 -0.7547483  -0.60664688 -0.04772307  0.36038191  1.10545063 -0.13304905
 -0.35832299 -0.17810352  0.49630411  0.32761238  0.67363092 -0.8597099
 -0.04950766 -0.3586121   0.06514344  0.54959786 -0.1508888   0.16998902
  0.66996511 -0.50777119  0.59316479  0.12169115  0.16649067 -0.06430811
  0.02541005 -0.40878637  0.26851174 -0.25548277  0.26920055 -0.78888212
 -0.17716131  0.68902983  0.38782941 -0.37861035 -0.08419676 -0.10764741
  0.69726435  0.01350921 -0.07011494 -0.44726765 -0.48446404  0.68285179
 -0.7291059   0.10711664 -0.47480696  0.26292384 -0.24721508  1.00657183
  0.33818417 -0.57123138  0.49227197  0.08429489 -0.18611208  0.21466786
 -0.05489532  0.51263794 -0.50613976 -0.38618795  0.6142893   0.31494271
  0.37952027 -0.45001251  0.06653151  0.44165812  0.42929588 -0.08777183
 -0.57621218  0.02606162  0.31331179  0.36850599 -1.0700868   0.45868904
 -0.84200037  0.17415282  0.15029689  0.36911151  0.27708422  0.15415657
  0.49710375  0.04108257  0.13101087  0.27923468 -0.20539971 -0.02871107
  0.03563892 -0.83094454  0.51905771 -0.13869148]",68.0,0.52,0.15,16.23,2.58,6.6,2.0,0.055,0.0,4.0,0.23,7.0,0.162,0.039,0.029,417.0,0.138,1.8,55.0,0.094,7.0,0.4,0.15,yogurt white,2.095343049
bear black,"[-1.19830954e+00  7.05246959e-01  1.11735179e+00 -9.62214731e-02
 -1.36476301e+00  1.29761609e+00 -1.28413498e-01 -5.47735319e-01
 -2.07056761e+00  6.23289043e-01  2.54066106e-01 -6.20165244e-01
 -4.66052826e-01 -1.04215945e+00 -3.95192299e-01 -4.13176566e-01
  8.88294479e-01 -1.14964058e+00  3.42409506e-01 -9.61300535e-01
  2.61251308e-01  1.52723819e-01  1.97934714e+00 -9.76858027e-01
  1.61526591e-01  5.74874625e-01 -4.24842708e-01  8.36104406e-01
 -1.03953138e-01 -4.09329198e-02  1.01219420e-01 -8.19309749e-01
  1.03653266e+00  1.56411928e+00 -1.96757770e+00  5.53797074e-01
  2.83351108e-01 -1.69818711e-01 -4.63810280e-01  1.29128972e+00
  1.81418810e+00  3.87642458e-01 -8.88535827e-01  1.11173955e+00
  1.11267167e+00  9.19709057e-02  1.71880685e-01  1.23320647e+00
  6.19327731e-01 -6.66526407e-01  5.25909271e-01  2.31089350e-01
  5.96499087e-01  7.66382672e-01  1.41582795e+00  5.82913794e-01
 -9.97257531e-01 -9.80338255e-01  3.11703731e-02 -9.96437281e-01
  7.43479053e-01 -7.40733221e-02 -2.24020807e-01 -7.44155191e-01
 -1.08236420e+00  5.53696834e-01  6.28149912e-01  5.57451081e-01
 -4.70886022e-01  5.45081234e-01  1.06637737e+00  2.56497385e-02
 -3.74320146e-01  4.82873116e-01  6.95193119e-01 -1.06968908e-01
  2.29931399e-01  5.34979664e-01  3.36540632e-01  1.04517971e+00
  8.14389598e-01  1.08086270e+00  1.59413546e+00  5.86421430e-01
 -3.45064918e-01  2.41390392e-02  1.31077737e+00  2.52790032e-01
 -1.31326687e+00  1.01489875e-01  3.04339544e+00 -9.55318627e-01
 -6.18066311e-01  1.09247863e-03 -6.57069705e-01 -1.00516809e+00
  1.09641742e+00 -1.06734810e+00  1.15533127e+00 -1.24279029e+00]",155.0,20.1,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.68,0.16,0.0,0.0,7.2,0.0,0.0,162.0,0.0,0.0,green bean fresh,0.7324271134
blackberries wild,"[-0.39678188  0.3585152   0.91201903 -0.12188588  0.25752679 -0.33695556
 -0.53042226  0.06691673 -0.79116355  0.4370517   0.03629735  0.58177452
 -0.63300209 -0.32354096  0.36382191  0.12588162  0.30249213 -1.33241022
 -0.30195893 -1.46241631  0.92998014  1.09040113  0.51463494 -0.25770731
 -0.54385644 -0.29248822  0.09275052  0.80101549 -0.01896086 -0.23675784
  0.62866171 -1.05741197  1.1090267  -0.25573052  0.67692257  0.18242855
 -1.06624562  0.01083916  0.05191801 -0.51039326 -0.12553068 -0.63036242
 -0.83390537  0.43288919 -0.18186542  0.42980998 -0.0225794  -0.22644332
  0.35819958  0.83603689 -0.27768819 -0.79427038 -1.17622012 -0.10902748
  0.27629484 -0.31720149 -0.42779738  0.06094387 -0.19327867  0.61794413
  1.45020112  0.3253004   0.60160702  0.53920222  0.37874702  0.13882355
  0.89288291  0.83875501  0.42452456 -0.02263653  0.02620295 -0.03762386
 -0.63808781 -0.31508918  0.00550172  0.41460572  0.60933928  1.44707859
 -0.18876062 -1.19165319  0.46956214 -0.30497847  0.01404201 -0.17982153
 -0.80634737 -0.63348304  0.09163615  0.24677736  0.33982886 -0.07849193
 -0.28752038 -0.38438052 -0.99296123  0.08386065 -0.12161445  0.21855814
  0.01516759 -0.1004836   0.56831177 -0.63468682]",52.0,0.84,1.07,9.84,3.65,3.2,5.0,0.039,0.0,4.7,0.91,11.0,0.314,0.144,0.06,5.0,0.222,0.21,4.0,0.287,11.0,0.0,0.15,raspberries frozen,1.175
blueberries wild,"[ 0.0485431  -0.12781931  1.10296601 -0.30018492  0.23953122 -0.84155777
 -0.26744497 -0.4852486  -0.62486595  0.04020035 -0.05753383  0.90796302
 -0.40303471 -0.73620328  0.83456604  0.78819818  0.69223507 -2.54767752
 -0.75964485 -1.54898325  1.3408774   1.41817894  0.40276128 -0.65173763
 -0.6117025  -0.77994466  0.23893352  1.22664422 -0.28506379 -1.4033975
  1.48292744 -1.46748012  0.76307385 -0.39575867  0.85936174  0.78774098
 -1.26254013  0.2224409  -0.35687231 -1.51392627 -0.66876236 -0.09214461
 -0.95727065  1.76234606 -0.58152445  0.59273895 -0.29890452 -0.18148997
  1.29722612  1.72799373  0.30249256 -1.0955966  -1.04811651 -1.03328422
  0.05315295 -0.75926796  0.17290294 -0.37042811 -0.73203433  0.59221498
  1.36360127  0.949628    0.08570004  0.98895815  0.73705304  0.08564594
  0.58579147  0.52304256  0.63607619 -0.63300267 -0.93278909 -0.60676897
 -1.01142183 -0.7457964  -0.70658246  0.19688011  1.33169119  2.21276695
 -0.52220853 -1.29088575  0.89454994 -0.56618284  0.29923072 -0.79349685
 -0.57068191 -1.0100693  -0.54704335  0.94540225  0.28023173  0.10733175
 -0.2872121  -0.13896388 -1.2521733  -0.63555567 -0.03108571  1.40716536
  0.4676531  -0.11901285  0.71467951 -0.6355217 ]",52.5,0.96,0.38,11.355,3.23,1.3,3.0,0.013,0.0,10.25,0.845,16.5,0.4985,0.257,0.0485,14.0,0.015,0.7350000000000001,3.5,1.0,14.5,0.0,0.1,raspberries frozen,1.175
bread blue corn,"[-9.58878050e-01 -1.29124102e+00 -2.24617134e-01 -1.71224825e+00
  8.45397512e-02  2.31454273e-02 -1.55126532e-01  3.22255020e-02
 -1.97024666e+00  1.56144381e-01  2.34956523e+00  6.90144201e-02
 -1.57532819e+00 -2.09998310e+00 -1.35622859e-01 -2.01311812e-01
  3.89231642e-01  4.97000138e-01 -4.50464666e-01 -2.95293434e+00
  4.49929674e-01 -1.30129921e+00  8.01678856e-01 -1.93417571e+00
 -4.00819053e-01 -6.97371562e-02 -9.66043075e-02  9.52312847e-02
 -1.71564202e-01 -1.37253116e+00  1.68007366e+00  1.86892327e-01
 -2.58210496e+00  1.40657404e+00 -1.48691509e+00  8.38452091e-01
 -1.13359400e+00  1.05582915e+00  1.07810545e+00 -7.15806405e-01
 -4.40589562e-01 -1.02977067e+00 -2.55947649e-01  1.51471102e+00
 -2.87972192e-02  1.57784133e+00 -2.02814649e+00 -4.73017424e-01
  2.97782540e-01  1.12164617e-01 -2.70276090e-01  9.83404716e-02
 -1.43979653e+00 -5.33398273e-01 -4.44021188e-01 -3.50712836e-02
 -2.39704251e-02 -2.74861845e-01 -2.90506929e-02  2.33827670e-01
 -6.70777728e-01 -1.46456509e+00 -4.13219631e-01 -2.34707038e-01
 -1.14368181e+00 -5.31910012e-02 -2.99677171e+00 -2.03126927e-01
 -2.26616949e-01  1.21470205e+00 -1.08545112e+00 -1.46929115e+00
  1.64789152e+00  1.08400981e-04  1.50723664e+00  1.92758749e+00
 -3.46518071e+00  1.58087989e-01  5.80864501e-01 -2.04737559e-01
  6.95446690e-01 -2.71523794e-01 -6.22932293e-01  5.04662422e-01
 -4.48066857e-01 -9.92796213e-02 -5.60779512e-01  1.76417728e+00
 -7.30290731e-01 -1.69235806e-01  2.74749442e+00 -1.08124566e+00
 -4.99426444e-01  1.98111763e-01 -6.33166810e-01  1.30435039e+00
  2.55208679e-01 -7.42089132e-01  8.12494280e-01  1.69674358e+00]",186.0,3.1,1.53,39.84,12.94,3.6,0.0,0.168,0.0,0.0,0.34,0.0,0.55,0.0,0.03,34.0,0.119,1.58,43.0,0.405,94.0,3.0,0.82,bread plain,0.9712222222
buffalo free range,"[-0.10549058  0.75263412  0.76092239  1.01337462 -0.18222247 -0.06928837
  0.55822565  0.41495741 -1.48895281 -1.00966753  0.18811826 -0.30857656
 -1.152154   -0.62818877  0.30244223 -1.742117    0.40694854  0.70569358
 -0.4091417  -0.50808939  0.14769352 -0.69116392  0.85755653 -0.21666097
 -0.07622601  0.08949907  0.55145496 -0.12901715  0.06465436  0.06367376
  0.37136634 -0.91632118 -1.41116961 -0.36100429  0.13538756  0.29022951
  0.46635812  0.48255077 -0.48197888 -0.25573093  0.65336467  0.10080015
  0.57510858  0.76133401 -0.73577696  0.8968099  -0.81117111  0.22212583
  0.02859373  0.19612751 -0.71901544 -0.50440282  1.19897564 -0.12351377
  0.21355728 -1.92664663 -1.25800657  0.14834197 -0.0790325   0.47303151
 -1.36760435 -0.67460414  0.06030879 -0.19360205 -0.68519525 -0.04662765
 -0.23940134 -0.09295894 -0.5692384  -0.05806617  0.45860022  0.67722082
  0.57568596 -0.0803339   0.8710855  -0.50764465  0.15534842 -1.3822829
 -0.03184441 -0.11835353 -0.15491351  0.36899622 -0.98061645 -0.54288014
  0.58624553 -0.03463956  1.52481741 -0.44586489 -0.31007868 -0.08474142
  0.51610406  0.5656792   0.96803236 -0.56554154  0.08414941 -0.65179071
 -0.53269641 -0.82596597  0.23358561  0.77830638]",121.5,26.975,1.55,0.0,0.0,0.0,0.0,0.787,1.41,0.0,0.295,4.0,6.97,0.3935,0.161,3.5,0.153,3.185,24.5,0.011,223.0,8.75,4.029999999999999,yogurt lactose free,3.16
cloudberries raw alaska native,"[-0.39178794  0.0881565   0.61687328  0.43937568 -0.40959204  0.43620662
 -0.06341732  0.21650751 -0.29060487  0.45898886 -0.16739724  0.13780754
 -0.4094691  -0.40044666 -0.16687954  0.25464148  0.44450247 -0.0625013
  0.07475484  0.0843388   0.04593795  0.33640627  0.35377361 -0.30348934
  0.21558687 -0.17203887 -0.21547812  0.31760894 -0.53062553  0.11777911
  0.4615997  -0.01231906  0.47882816  0.1826778   0.09403504  0.08271664
  0.34095132 -0.18102775  0.45360012  0.02592695  0.23455147 -0.55697975
 -0.04179406  0.36014178 -0.0094111  -0.12372336 -0.26185448 -0.23734968
  0.26088693  0.08704672  0.06844726 -0.10368969 -0.4295274   0.32556183
 -0.45691478  0.42207693 -0.27983464  0.03249561  0.09123241  0.49794563
  0.01034113 -0.26887788  0.35611574  0.10742152 -0.228616    0.0829246
 -0.12724971  0.49033431 -0.24826854 -0.160441    0.36019315 -0.02992104
  0.29394892 -0.33203725 -0.25310977 -0.1472974   0.08585516 -0.13823687
 -0.1614395   0.10123831  0.10913914  0.4201461  -0.75584849  0.42631524
 -0.59401488  0.14170578  0.32601976  0.1364931   0.28003311  0.17312674
  0.11722012 -0.00742119  0.2542476   0.05159944 -0.29038619  0.18638545
 -0.14791606 -0.13815001  0.01399705  0.03213536]",51.0,2.4,0.8,8.6,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.9,0.07,0.05,18.0,0.0,0.7,0.0,0.0,35.0,0.0,0.0,carrots canned,1.6
corn dried,"[ 0.30756313 -0.09916069 -0.08445814 -0.13838452 -2.16322517  0.40048012
 -0.86781496  1.59855791 -2.84882379  0.82980761  1.72365302 -0.07443002
 -1.32816446 -2.40728629  2.02463758  0.0129363   0.24901605  0.50524753
 -0.34002125 -2.2533139   0.71260512  1.40955746  2.53016949 -1.44681558
 -1.31370696  0.24674192 -0.73955881 -0.67404228 -0.60153085 -0.4130767
  0.50727659 -0.37084615  2.42739469  0.69511334 -0.51156807 -0.08669692
 -0.81880085 -1.96192425  0.74133152  2.33353269 -0.01451366 -1.82694143
 -0.88462126  2.76931274 -1.02519074  0.82107995 -0.25453302 -1.36005372
  0.83795799  1.79102063 -0.2187421  -2.16031271 -2.17917597  0.48075711
  0.04843598 -0.23909163 -0.74300169  0.70375568  0.46672044  2.77348596
  1.15983993  0.54390396  0.26999179  1.60641193 -0.36258942 -0.37970653
 -1.03446555 -2.26537734  0.0313974   0.36642349 -0.26922907 -0.7145043
  1.86354607 -0.27099457  3.01398778  0.97203061 -0.28712511  1.97040072
  1.07832857 -0.3040558   1.32742465  2.19055152  0.20972382  0.23261732
 -0.96928216 -0.8010976  -0.48989723  1.84565455 -2.81965077 -0.50668651
  2.90870047 -0.90825373 -1.53356868 -0.17175469  0.69861087 -0.88746808
  1.08257218 -1.09742966 -0.18312513 -0.67579754]",419.0,14.48,10.64,66.27,21.32,20.5,13.0,1.11,0.0,0.0,0.44,0.0,8.25,0.181,0.261,25.0,0.293,2.61,149.0,0.9,344.0,56.5,3.06,corn canned,1.355
